#|season|week|title|OT A|PS A|NT A|GS A|OT B|PS B|NT B|GS B|OT C|PS C|NT C|GS C|
pentecostWeekday|2|Weekdays following the Sunday Closest to May 18|Lev 19:1-2,9-18|Ps 71 or Ps 71:12-24|1 Cor 3:10-23|Mt 5:38-48|Isaiah 43:18-25|Ps 32|2 Cor 1:18-22|Mk 2:1-12|Gen 45:3-11,21-28|Ps 37:(1-7)8-17|1 Cor 15:35-49|Lk 6:27-38
proper|3|Sunday Closest to May 25|Isaiah 49:8-18|Ps 62|1 Cor 4:1-13|Mt 6:24-34|Hos 2:14-23|Ps 103 or Ps 103:1-14|2 Cor 3:4-18|Mk 2:18-22|Jer 7:1-15|Ps 92|1 Cor 15:50-58|Lk 6:39-49
proper|4|Sunday Closest to June 1|Deut 11:18-32|Ps 31 or Ps 31:16-27|Rom 3:21-31|Mt 7:21-27|Deut 5:6-21|Ps 81:1-11(12-17)|2 Cor 4:1-12|Mk 2:23-28|1 Kings 8:22-30,41-43|Ps 96|Gal 1:1-10|Lk 7:1-10
proper|5|Sunday Closest to June 8|Hos 5:15-6:6|Ps 50|Rom 4:13-18|Mt 9:9-13|Gen 3:1-21|Ps 130|2 Cor 4:13-18|Mk 3:20-35|1 Kings 17:17-24|Ps 30|Gal 1:11-24|Lk 7:11-17
proper|6|Sunday Closest to June 15|Ex 19:1-8|Ps 100|Rom 5:1-11|Mt 9:35-10:15|Ezek 31:1-6(7-9)10-14|Ps 92|2 Cor 5:1-10|Mk 4:26-34|2 Sam 11:26-12:15|Ps 32:1-6(7-12)|Gal 2:11-21|Lk 7:36-50
proper|7|Sunday Closest to June 22|Jer 20:7-13|Ps 69:1-16(17-19)|Rom 5:15b-19|Mt 10:16-33|Job 38:1-11(12-15)16-18|Ps 107:1-3(4-22)23-32|2 Cor 5:14-21|Mk 4:35-41(5:1-20)|Zech 12:8-10,13:1|Ps 63|Gal 3:23-29|Lk 9:18-24
proper|8|Sunday Closest to June 29|Isaiah 2:10-17|Ps 89:1-18|Rom 6:1-11|Mt 10:34-42|Deut 15:7-11|Ps 112|2 Cor 8:1-15|Mk 5:22-24,35b-43|1 Kings 19:15-21|Ps 16|Gal 5:1,13-25|Lk 9:51-62
proper|9|Sunday Closest to July 6|Zech 9:9-12|Ps 145:1-13(14-21)|Rom 7:21-8:6|Mt 11:25-30|Ezek 2:1-7|Ps 123|2 Cor 12:2-10|Mk 6:1-6|Isaiah 66:10-16|Ps 66 or Ps 66:1-8|Gal 6:(1-5)6-18|Lk 10:1-20
proper|10|Sunday Closest to July 13|Isaiah 55|Ps 65|Rom 8:7-17|Mt 13:1-9,18-23|Amos 7:7-15|Ps 85|Eph 1:1-14|Mark 6:7-13|Deut 30:9-14|Ps 25:1-14(15-21)|Col 1:1-14|Lk 10:25-37
proper|11|Sunday Closest to July 20|Wis 12:13, 16-19|Ps 86|Rom 8:18-25|Mt 13:24-30,34-43|Isaiah 57:14-21|Ps 22:23-32|Eph 2:11-22|Mark 6:30-44|Gen 18:1-14|Ps 15|Col 1:21-29|Lk 10:38-42
proper|12|Sunday Closest to July 27|1 Kings 3:3-14|Ps 119:121-136|Rom 8:26-34|Mt 13:31-33,44-50|2 Kings 2:1-15|Ps 114|Eph 4:1-16|Mark 6:45-52|Gen 18:20-33|Ps 138|Col 2:6-15|Lk 11:1-13
proper|13|Sunday Closest to August 3|Neh 9:16-21|Ps 78:(1-12)13-25|Rom 8:35-39|Mt 14:13-21|Ex 16:2-4(5-8)9-15|Ps 78:1-13(14-25)|Eph 4:17-25|Jn 6:24-35|Eccl 1:12-2:11|Ps 49:1-12(13-20)|Col 3:5-17|Lk 12:13-21
proper|14|Sunday Closest to August 10|Jon 2:1-10|Ps 29|Rom 9:1-5|Mt 14:22-33|Deut 8:1-10|Ps 34: (1-7)8-15(16-22)|Eph 4:25-5:2|Jn 6:37-51|Gen 15:1-6|Ps 33(1-9)10-21|Heb 11:1-16|Lk 12:32-40
proper|15|Sunday Closest to August 17|Isaiah 56:1-8|Ps 67|Rom 11:13-24|Mt 15:21-28|Prov 9:1-6|Ps 147|Eph 5:15-20|Jn 6:53-59|Jer 23:23-29|Ps 82|Heb 12:1-14|Lk 12:49-56
proper|16|Sunday Closest to August 24|Isaiah 51:1-6|Ps 138|Rom 11:25-36|Mt 16:13-20|Josh 24:1-2a,14-25|Ps 16|Eph 5:21-33|Jn 6:60-69|Isaiah 28:14-22|Ps 46|Heb 12:(15-17)18-29 Lk|13:22-30
proper|17|Sunday Closest to August 31|Jer 15:15-21|Ps 26|Rom 12:1-8|Mt 16:21-27|Deut 4:1-9|Ps 15|Eph 6:10-20|Mk 7:1-23|Ecclesiasticus 10:7-18|Ps 112|Heb 13:1-8|Lk 14:1,7-14
proper|18|Sunday Closest to September 7|Ezek 33:1-11|Ps 119:33-48|Rom 12:9-21|Mt 18:15-20|Isaiah 35:4-7a|Ps 146|James 1:17-27|Mk 7:31-37|Deut 30:15-20|Ps 1|Philemon (1-3)4-21(22-25)|Lk 14:25-33
proper|19|Sunday Closest to September 14|Ecclesiasticus 27:30-28:7|Ps 103 or Ps 103:1-14|Rom 14:5-12|Mt 18:21-35|Isaiah 50:4-9|Ps 116:1-9(10-19)|James 2:1-18|Mk 9:14-29|Ex 32:1,7-14|Ps 51:1-17|1 Tim 1:12-17|Lk 15:1-10
proper|20|Sunday Closest to September 21|Jonah 3:10-4:11|Ps 145:(1-13)14-21|Phil 1:21-27|Mt 20:1-16|Wis 1:16-2:1, 12-22|Ps 54|James 3:16-4:6|Mk 9:30-37|Amos 8:4-12|Ps 138|1 Tim 2:1-7(8-15)|Lk 16:1-13
proper|21|Sunday Closest to September 28|Ezek 18:1-4,25-32|Ps 25:1-14(15-21)|Phil 2:1-13|Mt 21:28-32|Num 11:4-6,10-17,24-29|Ps 19:(1-6)7-14|James 4:7-12(13-5:6)|Mk 9:38-48|Amos 6:1-7|Ps 146|1 Tim 6:11-19|Lk 16:19-31
proper|22|Sunday Closest to October 5|Isaiah 5:1-7|Ps 80(1-6)7-19|Phil 3:14-21|Mt 21:33-44|Gen 2:18-24|Ps 8|Heb 2:(1-8)9-18|Mk 10:2-9|Hab 1:1-13, 2:1-4|Ps 37:1-17|2 Tim 1:1-14|Lk 17:5-10
proper|23|Sunday Closest to October 12|Isaiah 25:1-9|Ps 23|Phil 4:4-13|Mt 22:1-14|Amos 5:6-15|Ps 90:1-12(13-17)|Heb 3:1-6|Mk 10:17-31|Ruth 1:1-19a|Ps 113|2 Tim 2:1-15|Lk 17:11-19
proper|24|Sunday Closest to October 19|Isaiah 45:1-7|Ps 96|1 Thess 1:1-10|Mt 22:15-22|Isaiah 53:4-12|Ps 91|Heb 4:12-16|Mk 10:35-45|Gen 32:3-8,22-30|Ps 121|2 Tim 3:14-4:5|Lk 18:1-8
