#| Week of 1 advent
epiphany|2|1|wednesday|Wednesday|38|119:25-48|Isa. 44:24—45:7|Eph. 5:1-14|Mark 4:1-20
epiphany|2|1|thursday|Thursday|37:1-18|37:19-42|Isa. 45:5-17|Eph. 5:15-33|Mark 4:21-34
epiphany|2|1|friday|Friday|31|35|Isa. 45:18-25|Eph. 6:1-9|Mark 4:35-41
epiphany|2|1|saturday|Saturday|30, 32|42, 43|Isa. 46:1-13|Eph. 6:10-24|Mark 5:1-20
#| Week of 3 Epiphany
epiphany|3|1|sunday|Sunday|63:1-8(9-11), 98|103|Isa. 47:1-15|Heb. 10:19-31|John 5:2-18
epiphany|3|1|monday|Monday|41, 52|44|Isa. 48:1-11|Gal. 1:1-17|Mark 5:21-43
epiphany|3|1|tuesday|Tuesday|45|47, 48|Isa. 48:12-21|Gal. 1:18—2:10|Mark 6:1-13
epiphany|3|1|wednesday|Wednesday|119:49-72|49, [53]|Isa. 49:1-12|Gal. 2:11-21|Mark 6:13-29
epiphany|3|1|thursday|Thursday|50|[59, 60] or 118|Isa. 49:13-23|Gal. 3:1-14|Mark 6:30-46
epiphany|3|1|friday|Friday|40, 54|51|Isa. 50:1-11|Gal. 3:15-22|Mark 6:47-56
epiphany|3|1|saturday|Saturday|55|138, 139:1-17(18-23)|Isa. 51:1-8|Gal. 3:23-29|Mark 7:1-23
#| Daily Office Year Two 945
#| Week of 2 Epiphany
epiphany|2|2|sunday|Sunday|148, 149, 150|114, 115|Gen. 7:1-10,17-23|Eph. 4:1-16|Mark 3:7-19
epiphany|2|2|monday|Monday|25|9, 15|Gen. 8:6-22|Heb. 4:14—5:6|John 2:23—3:15
epiphany|2|2|tuesday|Tuesday|26, 28|36, 39|Gen. 9:1-17|Heb. 5:7-14|John 3:16-21
epiphany|2|2|wednesday|Wednesday|38|119:25-48|Gen. 9:18-29|Heb. 6:1-12|John 3:22-36
epiphany|2|2|thursday|Thursday|37:1-18|37:19-42|Gen. 11:1-9|Heb. 6:13-20|John 4:1-15
epiphany|2|2|friday|Friday|31|35|Gen. 11:27—12:8|Heb. 7:1-17|John 4:16-26
epiphany|2|2|saturday|Saturday|30, 32|42, 43|Gen. 12:9—13:1|Heb. 7:18-28|John 4:27-42
#| Week of 3 Epiphany
epiphany|3|2|sunday|Sunday|63:1-8(9-11), 98|103|Gen. 13:2-18|Gal. 2:1-10|Mark 7:31-37
epiphany|3|2|monday|Monday|41, 52|44|Gen. 14:(1-7)8-24|Heb. 8:1-13|John 4:43-54
epiphany|3|2|tuesday|Tuesday|45|47, 48|Gen. 15:1-11,17-21|Heb. 9:1-14|John 5:1-18
epiphany|3|2|wednesday|Wednesday|119:49-72|49, [53]|Gen. 16:1-14|Heb. 9:15-28|John 5:19-29
epiphany|3|2|thursday|Thursday|50|[59, 60] or 118|Gen. 16:15—17:14|Heb. 10:1-10|John 5:30-47
epiphany|3|2|friday|Friday|40, 54|51|Gen. 17:15-27|Heb. 10:11-25|John 6:1-15
epiphany|3|2|saturday|Saturday|55|138, 139:1-17(18-23)|Gen. 18:1-16|Heb. 10:26-39|John 6:16-27
#| 946 Daily Office Year One
#| Week of 4 Epiphany
epiphany|4|1|sunday|Sunday|24, 29|8, 84|Isa. 51:9-16|Heb. 11:8-16|John 7:14-31
epiphany|4|1|monday|Monday|56, 57, [58]|64, 65|Isa. 51:17-23|Gal. 4:1-11|Mark 7:24-37
epiphany|4|1|tuesday|Tuesday|61, 62|68:1-20(21-23)24-36|Isa. 52:1-12|Gal. 4:12-20|Mark 8:1-10
epiphany|4|1|wednesday|Wednesday|72|119:73-96|Isa. 54:1-10(11-17)|Gal. 4:21-31|Mark 8:11-26
epiphany|4|1|thursday|Thursday|[70], 71|74|Isa. 55:1-13|Gal. 5:1-15|Mark 8:27—9:1
epiphany|4|1|friday|Friday|69:1-23(24-30)31-38|73|Isa. 56:1-8|Gal. 5:16-24|Mark 9:2-13
epiphany|4|1|saturday|Saturday|75, 76|23, 27|Isa. 57:3-13|Gal. 5:25—6:10|Mark 9:14-29
#| Week of 5 Epiphany
epiphany|5|1|sunday|Sunday|93, 96|34|Isa. 57:14-21|Heb. 12:1-6|John 7:37-46
epiphany|5|1|monday|Monday|80|77, [79]|Isa. 58:1-12|Gal. 6:11-18|Mark 9:30-41
epiphany|5|1|tuesday|Tuesday|78:1-39|78:40-72|Isa. 59:1-15a 2|Tim. 1:1-14|Mark 9:42-50
epiphany|5|1|wednesday|Wednesday|119:97-120|81, 82|Isa. 59:15b-21|2 Tim. 1:15—2:13|Mark 10:1-16
epiphany|5|1|thursday|Thursday|[83] or 146, 147|85, 86|Isa. 60:1-17|2 Tim. 2:14-26|Mark 10:17-31
epiphany|5|1|friday|Friday|88|91, 92|Isa. 61:1-9|2 Tim. 3:1-17|Mark 10:32-45
epiphany|5|1|saturday|Saturday|87, 90|136|Isa. 61:10—62:5|2 Tim. 4:1-8|Mark 10:46-52
#| Daily Office Year Two 947
#| Week of 4 Epiphany
epiphany|4|2|sunday|Sunday|24, 29|8, 84|Gen. 18:16-33|Gal. 5:13-25|Mark 8:22-30
epiphany|4|2|monday|Monday|56, 57, [58]|64, 65|Gen. 19:1-17(18-23)24-29|Heb. 11:1-12|John 6:27-40
epiphany|4|2|tuesday|Tuesday|61, 62|68:1-20(21-23)24-36|Gen. 21:1-21|Heb. 11:13-22|John 6:41-51
epiphany|4|2|wednesday|Wednesday|72|119:73-96|Gen. 22:1-18|Heb. 11:23-31|John 6:52-59
epiphany|4|2|thursday|Thursday|[70], 71|74|Gen. 23:1-20|Heb. 11:32—12:2|John 6:60-71
epiphany|4|2|friday|Friday|69:1-23(24-30)31-38|73|Gen. 24:1-27|Heb. 12:3-11|John 7:1-13
epiphany|4|2|saturday|Saturday|75, 76|23, 27|Gen. 24:28-38,49-51|Heb. 12:12-29|John 7:14-36
#| Week of 5 Epiphany
epiphany|5|2|sunday|Sunday|93, 96|34|Gen. 24:50-67|2 Tim. 2:14-21|Mark 10:13-22
epiphany|5|2|monday|Monday|80|77, [79]|Gen. 25:19-34|Heb. 13:1-16|John 7:37-52
epiphany|5|2|tuesday|Tuesday|78:1-39|78:40-72|Gen. 26:1-6,12-33|Heb. 13:17-25|John 7:53—8:11
epiphany|5|2|wednesday|Wednesday|119:97-120|81, 82|Gen. 27:1-29|Rom. 12:1-8|John 8:12-20
epiphany|5|2|thursday|Thursday|[83] or 146, 147|85, 86|Gen. 27:30-45|Rom. 12:9-21|John 8:21-32
epiphany|5|2|friday|Friday|88|91, 92|Gen. 27:46—28:4,10-22|Rom. 13:1-14|John 8:33-47
epiphany|5|2|saturday|Saturday|87, 90|136|Gen. 29:1-20|Rom. 14:1-23|John 8:47-59
#| 948 Daily Office Year One
#| Week of 6 Epiphany
epiphany|6|1|sunday|Sunday|66, 67|19, 46|Isa. 62:6-12|1 John 2:3-11|John 8:12-19
epiphany|6|1|monday|Monday|89:1-18|89:19-52|Isa. 63:1-6|1 Tim. 1:1-17|Mark 11:1-11
epiphany|6|1|tuesday|Tuesday|97, 99, [100]|94, [95]|Isa. 63:7-14|1 Tim. 1:18—2:8|Mark 11:12-26
epiphany|6|1|wednesday|Wednesday|101, 109:1-4(5-19)20-30|119:121-144|Isa 63:15—64:9|1 Tim. 3:1-16|Mark 11:27—12:12
epiphany|6|1|thursday|Thursday|105:1-22|105:23-45|Isa. 65:1-12|1 Tim. 4:1-16|Mark 12:13-27
epiphany|6|1|friday|Friday|102|107:1-32|Isa. 65:17-25|1 Tim 5:17-22(23-25)|Mark 12:28-34
epiphany|6|1|saturday|Saturday|107:33-43, 108:1-6(7-13)|33|Isa. 66:1-6|1 Tim. 6:6-21|Mark 12:35-44
#| Week of 7 Epiphany
epiphany|7|1|sunday|Sunday|118|145|Isa. 66:7-14|1 John 3:4-10|John 10:7-16
epiphany|7|1|monday|Monday|106:1-18|106:19-48|Ruth 1:1-14|2 Cor. 1:1-11|Matt. 5:1-12
epiphany|7|1|tuesday|Tuesday|[120], 121, 122, 123|124, 125, 126, [127]|Ruth 1:15-22|2 Cor. 1:12-22|Matt. 5:13-20
epiphany|7|1|wednesday|Wednesday|119:145-176|128, 129, 130|Ruth 2:1-13|2 Cor. 1:23—2:17|Matt. 5:21-26
epiphany|7|1|thursday|Thursday|131, 132, [133]|134, 135|Ruth 2:14-23|2 Cor. 3:1-18|Matt. 5:27-37
epiphany|7|1|friday|Friday|140, 142|141, 143:1-11(12)|Ruth 3:1-18|2 Cor. 4:1-12|Matt. 5:38-48
epiphany|7|1|saturday|Saturday|137:1-6(7-9), 144|104|Ruth 4:1-17|2 Cor. 4:13—5:10|Matt. 6:1-6
#| Daily Office Year Two 949
#| Week of 6 Epiphany
epiphany|6|2|sunday|Sunday|66, 67|19, 46|Gen. 29:20-35|1 Tim. 3:14—4:10|Mark 10:23-31
epiphany|6|2|monday|Monday|89:1-18|89:19-52|Gen. 30:1-24|1 John 1:1-10|John 9:1-17
epiphany|6|2|tuesday|Tuesday|97, 99, [100]|94, [95]|Gen. 31:1-24|1 John 2:1-11|John 9:18-41
epiphany|6|2|wednesday|Wednesday|101, 109:1-4(5-19)20-30|119:121-144|Gen. 31:25-50|1 John 2:12-17|John 10:1-18
epiphany|6|2|thursday|Thursday|105:1-22|105:23-45|Gen. 32:3-21|1 John 2:18-29|John 10:19-30
epiphany|6|2|friday|Friday|102|107:1-32|Gen. 32:22—33:17|1 John 3:1-10|John 10:31-42
epiphany|6|2|saturday|Saturday|107:33-43, 108:1-6(7-13)|33|Gen. 35:1-20|1 John 3:11-18|John 11:1-16
#| Week of 7 Epiphany
epiphany|7|2|sunday|Sunday|118|145|Prov. 1:20-33|2 Cor. 5:11-21|Mark 10:35-45
epiphany|7|2|monday|Monday|106:1-18|106:19-48|Prov. 3:11-20|1 John 3:18—4:6|John 11:17-29
epiphany|7|2|tuesday|Tuesday|[120], 121, 122, 123|124, 125, 126, [127]|Prov. 4:1-27|1 John 4:7-21|John 11:30-44
epiphany|7|2|wednesday|Wednesday|119:145-176|128, 129, 130|Prov. 6:1-19|1 John 5:1-12|John 11:45-54
epiphany|7|2|thursday|Thursday|131, 132, [133]|134, 135|Prov. 7:1-27|1 John 5:13-21|John 11:55—12:8
epiphany|7|2|friday|Friday|140, 142|141, 143:1-11(12)|Prov. 8:1-21|Philemon 1-25|John 12:9-19
epiphany|7|2|saturday|Saturday|137:1-6(7-9), 144|104|Prov. 8:22-36|2 Tim. 1:1-14|John 12:20-26
#| 950 Daily Office Year One
#| Week of 8 Epiphany
epiphany|8|1|sunday|Sunday|146, 147|111, 112, 113|Deut. 4:1-9|2 Tim. 4:1-8|John 12:1-8
epiphany|8|1|monday|Monday|1, 2, 3|4, 7|Deut. 4:9-14|2 Cor. 10:1-18|Matt. 6:7-15
epiphany|8|1|tuesday|Tuesday|5, 6|10, 11|Deut. 4:15-24|2 Cor. 11:1-21a|Matt. 6:16-23
epiphany|8|1|wednesday|Wednesday|119:1-24|12, 13, 14|Deut. 4:25-31|2 Cor. 11:21b-33|Matt. 6:24-34
epiphany|8|1|thursday|Thursday|18:1-20|18:21-50|Deut. 4:32-40|2 Cor. 12:1-10|Matt. 7:1-12
epiphany|8|1|friday|Friday|16, 17|22|Deut. 5:1-22|2 Cor. 12:11-21|Matt. 7:13-21
epiphany|8|1|saturday|Saturday|20, 21:1-7(8-14)|110:1-5(6-7), 116, 117|Deut. 5:22-33|2 Cor. 13:1-14|Matt. 7:22-29
#| Week of Last Epiphany
epiphany|9|1|sunday|Sunday|148, 149, 150|114, 115|Deut. 6:1-9|Heb. 12:18-29|John 12:24-32
epiphany|9|1|monday|Monday|25|9, 15|Deut. 6:10-15|Heb. 1:1-14|John 1:1-18
epiphany|9|1|tuesday|Tuesday|26, 28|36, 39|Deut. 6:16-25|Heb. 2:1-10|John 1:19-28
epiphany|9|1|wednesday|Ash Wednesday|Wednesday|95* & 32, 143|102, 130|Jonah 3:1—4:11|Heb. 12:1-14|Luke 18:9-14
epiphany|9|1|thursday|Thursday|37:1-18|37:19-42|Deut. 7:6-11|Titus 1:1-16|John 1:29-34
epiphany|9|1|friday|Friday|95* & 31|35|Deut. 7:12-16|Titus 2:1-15|John 1:35-42
epiphany|9|1|saturday|Saturday|30, 32|42, 43|Deut. 7:17-26|Titus 3:1-15|John 1:43-51
#| * For the|Invitatory
#| Daily Office Year Two 951
#| Week of 8 Epiphany
epiphany|8|2|sunday|Sunday|146, 147|111, 112, 113|Prov. 9:1-12|2 Cor. 9.6b-15|Mark 10:46-52
epiphany|8|2|monday|Monday|1, 2, 3|4, 7|Prov. 10:1-12|2 Tim. 1:15—2:13|John 12:27-36a
