#|Morning Prayer||Evening Prayer||||First Lesson|Second Lesson|First Lesson|Second Lesson
easter|2|Saturday|Saturday|Deut 7:1-11|Acts 7:35―8:4|Deut 7:12-end|Acts 8:4-25
easter|3|Sunday|Third Sunday of Easter|Num 13:1, 2, 17- end|Mark 5:21-end|Deut 4:25-40|John 21:1-14
easter|3|Monday|Monday|Deut 8|Acts 8:26-end|Deut 9:1-10|Acts 9:1-31
easter|3|Tuesday|Tuesday|Deut 9:11-end|Acts 9:32-end|Deut 10|Acts 10:1-23
easter|3|Wednesday|Wednesday|Deut 11:1-12|Acts 10:24-end|Deut 11:13-end|Acts 11:1-18
easter|3|Thursday|Thursday|Deut 12:1-14 (15―13.18)|Acts 11:19-end|Deut (14) 15:1-18|Acts 12:1-24
easter|3|Friday|Friday|Deut 16:1-20|Acts 12:25―13.:2|Deut 17:(1-7) 8-end|Acts 13:13-43
easter|3|Saturday|Saturday|Deut 18:(1-8) 9-end|Acts 13:44―14:7|Deut 19 (20)|Acts 14:8-end
easter|4|Sunday|Fourth Sunday of Easter|Num 22:1-21|Luke 7:11-17|Deut 5:1-21|John 21:15-end
easter|4|Monday|Monday|Deut 21:(1-21) 22―22:8 (9-30)|Acts 15:1-21|Deut (23) 24. (1-4) 5-end|Acts 15:22-35
easter|4|Tuesday|Tuesday|Deut (25) 26|Acts 15:36-16:5|Deut (27) 28. (1-57) 58-end|Acts 16:6-end
easter|4|Wednesday|Wednesday|Deut 29:(1-9) 10-end|Acts 17:1-15|Deut 30|Acts 17:16-end
easter|4|Thursday|Thursday|Deut 31:1-13|Acts 18:1-23|Deut 31:14-29|Acts 18:24-19:7
easter|4|Friday|Friday|Deut 31:30―32.:4|Acts 19:8-20|Deut 32:15-47|Acts 19:21-end
easter|4|Saturday|Saturday|Deut 33|Acts 20:1-16|Deut 32:48-end & 34|Acts 20:17-end
easter|5|Sunday|Fifth Sunday of Easter|Num 22:36―23.:2|John 11:1-44|Exod 35:30―36:7|Luke 16:19-end
